"displacement:0","displacement:1","displacement:2","displacement loads:0","displacement loads:1","displacement loads:2","displacement_magnitude","displacement_vector_derived:0","displacement_vector_derived:1","displacement_vector_derived:2","engineering_shear_strain_xy_derived","max_principal_strain_derived","strain_plane_derived:0","strain_plane_derived:1","strain_plane_derived:2","strain_xx_derived","strain_yy_derived","stress_plane_derived_pa:0","stress_plane_derived_pa:1","stress_plane_derived_pa:2","stress_xx","stress_xx_derived_pa","stress_xy","stress_xy_derived_pa","stress_xz","stress_yy","stress_yy_derived_pa","stress_yz","stress_zz","von_mises_derived_pa","vonmises","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2904e-05,-0.00010751,0,4.7325e-09,-9.5638e-09,0,0.00014221,9.2904e-05,-0.00010751,0,-7.7265e-05,3.5863e-05,3.6915e-06,-1.0664e-05,-7.7265e-05,3.6915e-06,-1.0664e-05,1.1357e+05,-2.2055e+06,-6.2406e+06,1.1432e+05,1.1357e+05,-6.3186e+06,-6.2406e+06,0,-2.1836e+06,-2.2055e+06,0,0,1.1064e+07,1.1191e+07,1,1,0.06,0.06,0.05,0
9.2917e-05,-0.00011744,0,6.979e-09,-2.9139e-09,0,0.00014993,9.2917e-05,-0.00011744,0,-7.766e-05,3.6234e-05,2.4115e-06,-8.5249e-06,-7.766e-05,2.4115e-06,-8.5249e-06,-33675,-1.8003e+06,-6.2726e+06,-32351,-33675,-6.3456e+06,-6.2726e+06,0,-1.7833e+06,-1.8003e+06,0,0,1.1037e+07,1.1159e+07,1,1,0.065,0.065,0.05,0
9.2926e-05,-0.00012736,0,8.9536e-09,1.0256e-08,0,0.00015774,9.2926e-05,-0.00012736,0,-7.7772e-05,3.6481e-05,1.2038e-06,-6.533e-06,-7.7772e-05,1.2038e-06,-6.533e-06,-1.7448e+05,-1.4243e+06,-6.2816e+06,-1.7155e+05,-1.7448e+05,-6.3491e+06,-6.2816e+06,0,-1.4137e+06,-1.4243e+06,0,0,1.0988e+07,1.1103e+07,1,1,0.07,0.07,0.05,0
9.2931e-05,-0.00013724,0,2.5668e-10,1.4965e-09,0,0.00016589,9.2931e-05,-0.00013724,0,-7.7297e-05,3.6536e-05,6.4813e-07,-5.2433e-06,-7.7297e-05,6.4813e-07,-5.2433e-06,-2.1343e+05,-1.1651e+06,-6.2432e+06,-2.1168e+05,-2.1343e+05,-6.3075e+06,-6.2432e+06,0,-1.1489e+06,-1.1651e+06,0,0,1.0895e+07,1.1004e+07,1,1,0.075,0.075,0.05,0
9.2931e-05,-0.00014711,0,-5.9958e-09,-7.0542e-09,0,0.00017407,9.2931e-05,-0.00014711,0,-7.6737e-05,3.653e-05,1.0246e-07,-4.0469e-06,-7.6737e-05,1.0246e-07,-4.0469e-06,-2.5653e+05,-9.2681e+05,-6.198e+06,-2.5547e+05,-2.5653e+05,-6.2599e+06,-6.198e+06,0,-9.0604e+05,-9.2681e+05,0,0,1.0797e+07,1.0902e+07,1,1,0.08,0.08,0.05,0
9.2933e-05,-0.00015692,0,-4.563e-09,-3.3198e-09,0,0.0001825,9.2933e-05,-0.00015692,0,-7.593e-05,3.6345e-05,-1.4067e-07,-3.3557e-06,-7.593e-05,-1.4067e-07,-3.3557e-06,-2.6478e+05,-7.8414e+05,-6.1328e+06,-2.5815e+05,-2.6478e+05,-6.1954e+06,-6.1328e+06,0,-7.6768e+05,-7.8414e+05,0,0,1.0682e+07,1.0789e+07,1,1,0.085,0.085,0.05,0
9.2931e-05,-0.00016672,0,-5.6337e-09,-5.8425e-10,0,0.00019096,9.2931e-05,-0.00016672,0,-7.5086e-05,3.6122e-05,-3.8696e-07,-2.717e-06,-7.5086e-05,-3.8696e-07,-2.717e-06,-2.774e+05,-6.5379e+05,-6.0646e+06,-2.6579e+05,-2.774e+05,-6.1279e+06,-6.0646e+06,0,-6.4043e+05,-6.5379e+05,0,0,1.0564e+07,1.0673e+07,1,1,0.09,0.09,0.05,0
9.293e-05,-0.00017645,0,3.8279e-09,3.7485e-09,0,0.00019955,9.293e-05,-0.00017645,0,-7.4122e-05,3.5797e-05,-4.9124e-07,-2.3524e-06,-7.4122e-05,-4.9124e-07,-2.3524e-06,-2.7623e+05,-5.7688e+05,-5.9868e+06,-2.6266e+05,-2.7623e+05,-6.0447e+06,-5.9868e+06,0,-5.6581e+05,-5.7688e+05,0,0,1.0439e+07,1.0539e+07,1,1,0.095,0.095,0.05,0
9.2926e-05,-0.00018617,0,1.8415e-08,4.6592e-09,0,0.00020817,9.2926e-05,-0.00018617,0,-7.3124e-05,3.5437e-05,-5.8881e-07,-2.0363e-06,-7.3124e-05,-5.8881e-07,-2.0363e-06,-2.7686e+05,-5.1069e+05,-5.9062e+06,-2.6151e+05,-2.7686e+05,-5.958e+06,-5.9062e+06,0,-5.0365e+05,-5.1069e+05,0,0,1.031e+07,1.0399e+07,1,1,0.1,0.1,0.05,0
9.2925e-05,-0.00019581,0,1.5414e-08,1.5133e-08,0,0.00021685,9.2925e-05,-0.00019581,0,-7.2176e-05,3.5114e-05,-4.5374e-07,-1.9304e-06,-7.2176e-05,-4.5374e-07,-1.9304e-06,-2.3835e+05,-4.7689e+05,-5.8296e+06,-2.1614e+05,-2.3835e+05,-5.8849e+06,-5.8296e+06,0,-4.7269e+05,-4.7689e+05,0,0,1.0187e+07,1.0283e+07,1,1,0.105,0.105,0.05,0
