"a im","a re","b im:0","b im:1","b im:2","b re:0","b re:1","b re:2","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.0041163,0,0,0,-2.6274e-05,1.1439,0,2,1,0.0064,-0.0036,0,0
0,0.0040019,0,0,0,-2.6509e-05,1.1439,0,2,1,0.0065,-0.0035,0,0
0,0.0038875,0,0,0,-2.6743e-05,1.1438,0,2,1,0.0066,-0.0034,0,0
0,0.0037731,0,0,0,-2.6977e-05,1.1438,0,2,1,0.0067,-0.0033,0,0
0,0.0036588,0,0,0,-2.7212e-05,1.1437,0,2,1,0.0068,-0.0032,0,0
0,0.0035444,0,0,0,-2.7446e-05,1.1437,0,2,1,0.0069,-0.0031,0,0
0,0.00343,0,0,0,-2.768e-05,1.1437,0,2,1,0.007,-0.003,0,0
0,0.0033156,0,0,0,-2.7915e-05,1.1436,0,2,1,0.0071,-0.0029,0,0
0,0.0032012,0,0,0,-2.8101e-05,1.1436,0,2,1,0.0072,-0.0028,0,0
0,0.0030869,0,0,0,-2.8173e-05,1.1435,0,2,1,0.0073,-0.0027,0,0
0,0.0029725,0,0,0,-2.8245e-05,1.1435,0,2,1,0.0074,-0.0026,0,0
0,0.0028582,0,0,0,-2.8318e-05,1.1435,0,2,1,0.0075,-0.0025,0,0
0,0.0027439,0,0,0,-2.839e-05,1.1435,0,2,1,0.0076,-0.0024,0,0
0,0.0026295,0,0,0,-2.8463e-05,1.1434,0,2,1,0.0077,-0.0023,0,0
0,0.0025152,0,0,0,-2.8535e-05,1.1434,0,2,1,0.0078,-0.0022,0,0
0,0.0024009,0,0,0,-2.8608e-05,1.1434,0,2,1,0.0079,-0.0021,0,0
0,0.0022865,0,0,0,-2.868e-05,1.1433,0,2,1,0.008,-0.002,0,0
0,0.0021722,0,0,0,-2.8753e-05,1.1433,0,2,1,0.0081,-0.0019,0,0
0,0.0020579,0,0,0,-2.8825e-05,1.1433,0,2,1,0.0082,-0.0018,0,0
0,0.0019435,0,0,0,-2.8898e-05,1.1433,0,2,1,0.0083,-0.0017,0,0
0,0.0018292,0,0,0,-2.897e-05,1.1432,0,2,1,0.0084,-0.0016,0,0
0,0.0017149,0,0,0,-2.9013e-05,1.1432,0,2,1,0.0085,-0.0015,0,0
0,0.0016006,0,0,0,-2.9022e-05,1.1432,0,2,1,0.0086,-0.0014,0,0
0,0.0014863,0,0,0,-2.9031e-05,1.1432,0,2,1,0.0087,-0.0013,0,0
0,0.001372,0,0,0,-2.904e-05,1.1431,0,2,1,0.0088,-0.0012,0,0
0,0.0012577,0,0,0,-2.9049e-05,1.1431,0,2,1,0.0089,-0.0011,0,0
0,0.0011433,0,0,0,-2.9058e-05,1.1431,0,2,1,0.009,-0.001,0,0
0,0.001029,0,0,0,-2.9067e-05,1.1431,0,2,1,0.0091,-0.0009,0,0
0,0.00091472,0,0,0,-2.9077e-05,1.1431,0,2,1,0.0092,-0.0008,0,0
0,0.00080041,0,0,0,-2.9086e-05,1.1431,0,2,1,0.0093,-0.0007,0,0
0,0.0006861,0,0,0,-2.9095e-05,1.143,0,2,1,0.0094,-0.0006,0,0
0,0.00057179,0,0,0,-2.9104e-05,1.143,0,2,1,0.0095,-0.0005,0,0
0,0.00045748,0,0,0,-2.9113e-05,1.143,0,2,1,0.0096,-0.0004,0,0
0,0.00034317,0,0,0,-2.9122e-05,1.143,0,2,1,0.0097,-0.0003,0,0
0,0.00022886,0,0,0,-2.9053e-05,1.143,0,2,1,0.0098,-0.0002,0,0
0,0.00011456,0,0,0,-2.8939e-05,1.143,0,2,1,0.0099,-0.0001,0,0
0,2.5383e-07,0,0,0,-2.8826e-05,1.143,0,2,1,0.01,0,0,0
0,-0.00011405,0,0,0,-2.8712e-05,1.143,0,2,1,0.0101,0.0001,0,0
0,-0.00022835,0,0,0,-2.8598e-05,1.143,0,2,1,0.0102,0.0002,0,0
0,-0.00034266,0,0,0,-2.8485e-05,1.143,0,2,1,0.0103,0.0003,0,0
0,-0.00045696,0,0,0,-2.8371e-05,1.143,0,2,1,0.0104,0.0004,0,0
0,-0.00057126,0,0,0,-2.8258e-05,1.1431,0,2,1,0.0105,0.0005,0,0
0,-0.00068557,0,0,0,-2.8144e-05,1.1431,0,2,1,0.0106,0.0006,0,0
0,-0.00079987,0,0,0,-2.8031e-05,1.1431,0,2,1,0.0107,0.0007,0,0
0,-0.00091417,0,0,0,-2.7917e-05,1.1431,0,2,1,0.0108,0.0008,0,0
0,-0.0010285,0,0,0,-2.7803e-05,1.1431,0,2,1,0.0109,0.0009,0,0
0,-0.0011428,0,0,0,-2.769e-05,1.1431,0,2,1,0.011,0.001,0,0
0,-0.0012571,0,0,0,-2.7536e-05,1.1431,0,2,1,0.0111,0.0011,0,0
0,-0.0013714,0,0,0,-2.7372e-05,1.1431,0,2,1,0.0112,0.0012,0,0
0,-0.0014857,0,0,0,-2.7208e-05,1.1432,0,2,1,0.0113,0.0013,0,0
0,-0.0016,0,0,0,-2.7044e-05,1.1432,0,2,1,0.0114,0.0014,0,0
0,-0.0017144,0,0,0,-2.6881e-05,1.1432,0,2,1,0.0115,0.0015,0,0
0,-0.0018287,0,0,0,-2.6717e-05,1.1432,0,2,1,0.0116,0.0016,0,0
0,-0.001943,0,0,0,-2.6553e-05,1.1432,0,2,1,0.0117,0.0017,0,0
0,-0.0020573,0,0,0,-2.639e-05,1.1433,0,2,1,0.0118,0.0018,0,0
0,-0.0021716,0,0,0,-2.6226e-05,1.1433,0,2,1,0.0119,0.0019,0,0
0,-0.0022859,0,0,0,-2.6062e-05,1.1433,0,2,1,0.012,0.002,0,0
0,-0.0024003,0,0,0,-2.5898e-05,1.1433,0,2,1,0.0121,0.0021,0,0
0,-0.0025146,0,0,0,-2.5735e-05,1.1433,0,2,1,0.0122,0.0022,0,0
0,-0.0026289,0,0,0,-2.5571e-05,1.1434,0,2,1,0.0123,0.0023,0,0
0,-0.0027433,0,0,0,-2.5324e-05,1.1434,0,2,1,0.0124,0.0024,0,0
0,-0.0028576,0,0,0,-2.5075e-05,1.1434,0,2,1,0.0125,0.0025,0,0
0,-0.002972,0,0,0,-2.4825e-05,1.1435,0,2,1,0.0126,0.0026,0,0
0,-0.0030864,0,0,0,-2.4576e-05,1.1435,0,2,1,0.0127,0.0027,0,0
0,-0.0032007,0,0,0,-2.4327e-05,1.1436,0,2,1,0.0128,0.0028,0,0
0,-0.0033151,0,0,0,-2.4078e-05,1.1436,0,2,1,0.0129,0.0029,0,0
0,-0.0034295,0,0,0,-2.3829e-05,1.1437,0,2,1,0.013,0.003,0,0
0,-0.0035438,0,0,0,-2.358e-05,1.1437,0,2,1,0.0131,0.0031,0,0
0,-0.0036582,0,0,0,-2.3331e-05,1.1437,0,2,1,0.0132,0.0032,0,0
0,-0.0037726,0,0,0,-2.3082e-05,1.1438,0,2,1,0.0133,0.0033,0,0
0,-0.003887,0,0,0,-2.2833e-05,1.1438,0,2,1,0.0134,0.0034,0,0
0,-0.0040013,0,0,0,-2.2584e-05,1.1439,0,2,1,0.0135,0.0035,0,0
0,-0.0041157,0,0,0,-2.233e-05,1.1439,0,2,1,0.0136,0.0036,0,0
0,-0.0042301,0,0,0,-2.2047e-05,1.144,0,2,1,0.0137,0.0037,0,0
0,-0.0043445,0,0,0,-2.1764e-05,1.144,0,2,1,0.0138,0.0038,0,0
0,-0.0044589,0,0,0,-2.1482e-05,1.144,0,2,1,0.0139,0.0039,0,0
0,-0.0045733,0,0,0,-2.1199e-05,1.1441,0,2,1,0.014,0.004,0,0
0,-0.0046878,0,0,0,-2.0916e-05,1.1441,0,2,1,0.0141,0.0041,0,0
0,-0.0048022,0,0,0,-2.0633e-05,1.1442,0,2,1,0.0142,0.0042,0,0
0,-0.0049166,0,0,0,-2.0351e-05,1.1442,0,2,1,0.0143,0.0043,0,0
0,-0.005031,0,0,0,-2.0068e-05,1.1443,0,2,1,0.0144,0.0044,0,0
0,-0.0051454,0,0,0,-1.9785e-05,1.1443,0,2,1,0.0145,0.0045,0,0
